,Year,Total Gross,Number of Movies,#1 Movie
0,2015,11128.5,702,Star Wars: The Force Awakens
1,2014,10360.8,702,American Sniper
2,2013,10923.6,688,Catching Fire
3,2012,10837.4,667,The Avengers
4,2011,10174.3,602,Harry Potter / Deathly Hallows (P2)
5,2010,10565.6,536,Toy Story 3
6,2009,10595.5,521,Avatar
7,2008,9630.7,608,The Dark Knight
8,2007,9663.8,631,Spider-Man 3
9,2006,9209.5,608,Dead Man's Chest
10,2005,8840.5,547,Revenge of the Sith
11,2004,9380.5,551,Shrek 2
12,2003,9239.7,506,Return of the King
13,2002,9155.0,479,Spider-Man
14,2001,8412.5,482,Harry Potter / Sorcerer's Stone
15,2000,7661.0,478,The Grinch
16,1999,7448.0,461,The Phantom Menace
17,1998,6949.0,509,Saving Private Ryan
18,1997,6365.9,510,Titanic
19,1996,5911.5,471,Independence Day
20,1995,5493.5,411,Toy Story
21,1994,5396.2,453,Forrest Gump
22,1993,5154.2,462,Jurassic Park
23,1992,4871.0,480,Aladdin
24,1991,4803.2,458,Terminator 2
25,1990,5021.8,410,Home Alone
26,1989,5033.4,502,Batman
27,1988,4458.4,510,Rain Man
28,1987,4252.9,509,Three Men and a Baby
29,1986,3778.0,451,Top Gun
30,1985,3749.2,470,Back to the Future
31,1984,4031.0,536,Beverly Hills Cop
32,1983,3766.0,495,Return of the Jedi
33,1982,3453.0,428,E.T.
34,1981,2966.0,173,Raiders / Lost Ark
35,1980,2749.0,161,The Empire Strikes Back
