,Characters,Periods
0,21759,189
1,22148,188
2,20558,231
3,25526,195
4,23395,255
5,14622,140
6,14431,131
7,22476,214
8,33767,337
9,18508,185
10,23024,193
11,39363,429
12,18669,175
13,17924,180
14,17385,181
15,15353,172
16,13879,155
17,17432,144
18,17338,121
19,14252,145
20,23545,269
21,13708,120
22,23015,247
23,24239,182
24,13526,91
25,21739,150
26,15754,109
27,30992,271
28,26254,233
29,24137,218
30,20723,178
31,23158,224
32,25777,232
33,32496,257
34,21310,201
35,11441,100
36,23524,157
37,26091,206
38,27473,263
39,11368,61
40,26464,187
41,16753,118
42,33202,305
43,10289,95
44,12558,96
45,27094,234
46,40935,392
