,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
0,24.0,MORACEAE,Falso laurel,Ficus benjamina 
1,6.8,ANACARDIACEAE,Mango,Mangifera indica 
2,4.8,FABACEAE,Carbonero (2),Calliandra pittieri 
3,25.0,MORACEAE,Falso laurel,Ficus benjamina 
4,24.0,MORACEAE,Falso laurel,Ficus benjamina 
5,8.0,FABACEAE,Cedro amarillo,Albizia guachapele 
6,4.3,MYRTACEAE,Grosello,Eugenia uniflora
7,25.0,MORACEAE,Falso laurel,Ficus benjamina 
8,27.0,MORACEAE,Falso laurel,Ficus benjamina 
9,9.0,FABACEAE,Cedro amarillo,Albizia guachapele 
10,8.0,FABACEAE,Gualanday,Jacaranda mimosifolia 
11,8.5,FABACEAE,Gualanday,Jacaranda mimosifolia 
12,26.0,MORACEAE,Falso laurel,Ficus benjamina 
13,6.0,FABACEAE,Cedro amarillo,Albizia guachapele 
14,2.8,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
15,26.0,MORACEAE,Falso laurel,Ficus benjamina 
16,3.8,FABACEAE,Carbonero (2),Calliandra pittieri 
17,9.5,MORACEAE,Falso caucho,Ficus elastica
18,25.0,MORACEAE,Falso laurel,Ficus benjamina 
19,9.0,MORACEAE,Falso caucho,Ficus elastica
20,8.0,ANACARDIACEAE,Mango,Mangifera indica 
21,21.0,MORACEAE,Falso laurel,Ficus benjamina 
22,8.2,FABACEAE,Ébano,Caesalpinia ebano 
23,9.5,FABACEAE,Ébano,Caesalpinia ebano 
24,10.0,FABACEAE,Ébano,Caesalpinia ebano 
25,7.5,ANACARDIACEAE,Mango,Mangifera indica 
26,5.5,ANACARDIACEAE,Mango,Mangifera indica 
27,26.0,MORACEAE,Falso laurel,Ficus benjamina 
28,13.0,ANACARDIACEAE,Mango,Mangifera indica 
29,6.5,ANACARDIACEAE,Mango,Mangifera indica 
30,5.8,SAPINDACEAE,Huevo vegetal,Blighia sapida
31,7.0,FABACEAE,Cedro amarillo,Albizia guachapele 
32,24.0,MORACEAE,Falso laurel,Ficus benjamina 
33,9.0,ANACARDIACEAE,Quebracho,Astronium graveolens 
34,7.5,FABACEAE,Guamo bejuco,Inga edulis 
35,5.0,RUTACEAE,Naranjo,Citrus sinensis 
36,2.8,RUTACEAE,Limón,Citrus sp.
37,10.0,FABACEAE,Choibá,Dipteryx oleifera
38,5.0,ANACARDIACEAE,Mango,Mangifera indica 
39,7.0,SAPINDACEAE,Guacharaco,Cupania cinerea 
40,22.0,MORACEAE,Falso laurel,Ficus benjamina 
41,4.1,RUTACEAE,Mandarino,Citrus nobilis 
42,4.2,FABACEAE,Guamo bejuco,Inga edulis 
43,8.5,FABACEAE,Cámbulo,Erythrina poeppigiana 
44,5.6,BIGNONIACEAE,Guayacán peludo,Handroanthus chrysotrichus
45,6.5,ANACARDIACEAE,Mango,Mangifera indica 
46,21.0,MORACEAE,Falso laurel,Ficus benjamina 
47,11.5,ANACARDIACEAE,Mango,Mangifera indica 
48,5.0,RUTACEAE,Mandarino,Citrus nobilis 
49,4.3,ARECACEAE,Palma táparo,Attalea amygdalina 
50,5.6,RUTACEAE,Mandarino,Citrus nobilis 
51,6.8,ANACARDIACEAE,Mango,Mangifera indica 
52,22.0,MORACEAE,Falso laurel,Ficus benjamina 
53,4.3,ARECACEAE,Palma táparo,Attalea amygdalina 
54,6.0,ANACARDIACEAE,Mango,Mangifera indica 
55,7.0,FABACEAE,Guamo bejuco,Inga edulis 
56,23.0,MORACEAE,Falso laurel,Ficus benjamina 
57,9.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
58,9.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
59,14.0,FABACEAE,Choibá,Dipteryx oleifera
60,7.5,FABACEAE,Guamo machete,Inga spectabilis
61,7.0,ANACARDIACEAE,Mango,Mangifera indica 
62,6.5,ANACARDIACEAE,Mango,Mangifera indica 
63,8.0,FABACEAE,Samán,Samanea saman 
64,10.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
65,23.0,MORACEAE,Falso laurel,Ficus benjamina 
66,7.0,ANACARDIACEAE,Mango,Mangifera indica 
67,7.8,ANACARDIACEAE,Mango,Mangifera indica 
68,4.5,CAPPARACEAE,Olivito,Morisonia odoratissima
69,24.0,MORACEAE,Falso laurel,Ficus benjamina 
70,6.8,FABACEAE,Suribio,Zygia longifolia 
71,6.8,MYRTACEAE,Guayabo,Psidium guajava 
72,4.2,RUBIACEAE,Azuceno de monte,Posoqueria latifolia
73,4.4,CAPPARACEAE,Olivito,Morisonia odoratissima
74,5.0,ANACARDIACEAE,Mango,Mangifera indica 
75,20.0,MORACEAE,Falso laurel,Ficus benjamina 
76,6.0,MYRTACEAE,Guayabo,Psidium guajava 
77,7.0,MYRTACEAE,Guayabo,Psidium guajava 
78,15.0,FABACEAE,Chiminango,Phithecellobium dulce 
79,8.0,FABACEAE,Cámbulo,Erythrina poeppigiana 
80,8.0,MYRTACEAE,Guayabo,Psidium guajava 
81,20.0,MORACEAE,Falso laurel,Ficus benjamina 
82,1.0,ARECACEAE,Palma areca,Dypsis lutescens
83,4.5,FABACEAE,Guamo machete,Inga spectabilis
84,5.8,FABACEAE,Florisanto,Brownea stenantha
85,6.2,MYRTACEAE,Guayabo,Psidium guajava 
86,11.0,FABACEAE,Carmín,Senna siamea 
87,4.3,FABACEAE,Florisanto,Brownea stenantha
88,12.0,POLYGONACEAE,Vara santa,Triplaris americana
89,4.8,RUTACEAE,Mandarino,Citrus nobilis 
90,4.2,PROTEACEAE,Palo zorrillo,Roupala montana
91,20.0,MORACEAE,Falso laurel,Ficus benjamina 
92,1.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
93,1.9,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
94,2.3,RUTACEAE,Limón,Citrus sp.
95,1.8,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
96,18.0,MORACEAE,Falso caucho,Ficus elastica
97,9.8,CLUSIACEAE,Madroño,Garcinia madruno
98,7.8,ANACARDIACEAE,Mango,Mangifera indica 
99,11.0,FABACEAE,Balaustre,Centrolobium yavizanum 
100,2.55,MALPIGHIACEAE,Huesito,Malpighia glabra 
101,1.7,RUTACEAE,Limón,Citrus sp.
102,1.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
103,9.5,MALVACEAE,Guacimo,Guazuma ulmifolia 
104,10.0,OLEACEAE,Urapán,Fraxinus uhdei 
105,12.0,OLEACEAE,Urapán,Fraxinus uhdei 
106,8.0,MALVACEAE,Guacimo,Guazuma ulmifolia 
107,11.5,OLEACEAE,Urapán,Fraxinus uhdei 
108,10.0,MALVACEAE,Guacimo,Guazuma ulmifolia 
109,7.0,ANACARDIACEAE,Mango,Mangifera indica 
110,3.0,ANACARDIACEAE,Mango,Mangifera indica 
111,5.5,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
112,13.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
113,4.0,FABACEAE,Balsamo,Myroxylon balsamum
114,4.1,FABACEAE,Tambor,Schizolobium parahyba 
115,9.0,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
116,14.0,FABACEAE,Gualanday,Jacaranda mimosifolia 
117,5.8,ANACARDIACEAE,Mango,Mangifera indica 
118,5.4,ANACARDIACEAE,Mango,Mangifera indica 
119,10.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
120,1.85,FABACEAE,Acacia mangium,Acacia mangium
121,9.5,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
122,4.15,LYTHRACEAE,Flor de reina,Lagerstroemia speciosa
123,8.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
124,7.5,ANACARDIACEAE,Mango,Mangifera indica 
125,7.2,ANACARDIACEAE,Mango,Mangifera indica 
126,1.2,RUTACEAE,Limón,Citrus sp.
127,5.3,ANACARDIACEAE,Mango,Mangifera indica 
128,4.8,ANACARDIACEAE,Mango,Mangifera indica 
129,4.3,FABACEAE,Arroz con coco,Andira inermis 
130,6.0,ANACARDIACEAE,Mango,Mangifera indica 
131,7.1,ANACARDIACEAE,Ciruelo,Spondias purpurea 
132,4.3,RUTACEAE,Azahar de la india,Murraya paniculata
133,22.0,MORACEAE,Falso laurel,Ficus benjamina 
134,10.0,FABACEAE,Cedro amarillo,Albizia guachapele 
135,7.5,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
136,5.7,ANACARDIACEAE,Mango,Mangifera indica 
137,5.0,SAPINDACEAE,Cotoprix,Melicoccus oliviformis 
138,7.0,FABACEAE,Carbonero (2),Calliandra pittieri 
139,8.5,MYRTACEAE,Guayabo,Psidium guajava 
140,6.5,FABACEAE,Carbonero (2),Calliandra pittieri 
141,6.3,ANACARDIACEAE,Mango,Mangifera indica 
142,6.5,ANACARDIACEAE,Mango,Mangifera indica 
143,6.0,ANACARDIACEAE,Mango,Mangifera indica 
144,5.8,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
145,7.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
146,13.0,FABACEAE,Casco de vaca blanco,Bahuinia picta
147,14.0,FABACEAE,Casco de vaca blanco,Bahuinia picta
148,13.5,MELIACEAE,Cedro,Cedrela odorata 
149,6.8,OXALIDACEAE,Carambolo,Averrhoa carambola 
150,9.0,FABACEAE,Tamarindo,Tamarindus indica 
151,9.0,LECYTHIDACEAE,Membrillo,Gustavia superba
152,10.5,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
153,13.0,FABACEAE,Gualanday,Jacaranda mimosifolia 
154,7.0,FABACEAE,Capitancillo,Pentaclethra macroloba
155,5.0,MALVACEAE,Cacao de monte,Pachira speciosa
156,10.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
157,15.0,FABACEAE,Búcaro,Erythrina fusca 
158,6.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
159,6.5,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
160,10.0,MELIACEAE,Cedro,Cedrela odorata 
161,11.0,FABACEAE,Cámbulo,Erythrina poeppigiana 
162,21.0,MORACEAE,Falso laurel,Ficus benjamina 
163,14.0,MELIACEAE,Cedro,Cedrela odorata 
164,13.0,MELIACEAE,Cedro,Cedrela odorata 
165,6.8,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
166,11.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
167,12.0,FABACEAE,Gualanday,Jacaranda mimosifolia 
168,3.7,APOCYNACEAE,Azuceno,Tabernaemontana litoralis
169,6.8,ANNONACEAE,Guanábano,Annona muricata 
170,7.5,FABACEAE,Carbonero (2),Calliandra pittieri 
171,8.5,MALVACEAE,Cacao de monte,Pachira speciosa
172,10.2,MELIACEAE,Cedro,Cedrela odorata 
173,14.0,FABACEAE,Velero,Senna spectabilis 
174,1.2,FABACEAE,Arizá,Brownea ariza 
175,14.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
176,12.8,FABACEAE,Casco de vaca blanco,Bahuinia picta
177,0.8,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
178,7.5,ANACARDIACEAE,Mango,Mangifera indica 
179,14.0,OLEACEAE,Urapán,Fraxinus uhdei 
180,1.6,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
181,5.2,ANACARDIACEAE,Mango,Mangifera indica 
182,6.5,FABACEAE,Suribio,Zygia longifolia 
183,14.0,POLYGONACEAE,Vara santa,Triplaris americana
184,6.2,MYRTACEAE,Guayabo,Psidium guajava 
185,3.5,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
186,12.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
187,1.3,MALVACEAE,Ceiba verde,Pseudobombax septenatum 
188,20.0,MORACEAE,Falso laurel,Ficus benjamina 
189,5.8,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
190,9.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
191,12.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
192,5.8,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
193,1.6,FABACEAE,Arizá,Brownea ariza 
194,3.1,SAPOTACEAE,Canistel,Pouteria campechiana
195,2.9,MELIACEAE,Caobo,Swietenia macrophylla 
196,12.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
197,12.0,POLYGONACEAE,Vara santa,Triplaris americana
198,11.0,POLYGONACEAE,Vara santa,Triplaris americana
199,6.5,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
200,6.2,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
201,13.0,POLYGONACEAE,Vara santa,Triplaris americana
202,14.0,FABACEAE,Carmín,Senna siamea 
203,10.0,MELIACEAE,Caobo,Swietenia macrophylla 
204,10.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
205,10.0,FABACEAE,Búcaro,Erythrina fusca 
206,4.5,RUTACEAE,Azahar de la india,Murraya paniculata
207,14.0,SAPINDACEAE,Iguano,Dilodendron costaricense
208,10.0,POLYGONACEAE,Vara santa,Triplaris americana
209,6.8,APOCYNACEAE,Carreto,Aspidosperma spruceanum 
210,5.0,BIGNONIACEAE,Guayacán peludo,Handroanthus chrysotrichus
211,15.0,URTICACEAE,Yarumo,Cecropia sp. 
212,5.8,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
213,19.0,MORACEAE,Falso laurel,Ficus benjamina 
214,5.8,EUPHORBIACEAE,Ceiba tronadora,Hura crepitans 
215,10.0,FABACEAE,Samán,Samanea saman 
216,0.9,LAURACEAE,Aguacate,Persea americana 
217,15.0,FABACEAE,Cámbulo,Erythrina poeppigiana 
218,20.0,FABACEAE,Ébano,Caesalpinia ebano 
219,14.0,POLYGONACEAE,Vara santa,Triplaris americana
220,2.8,MELIACEAE,Caobo,Swietenia macrophylla 
221,6.0,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
222,6.0,ARECACEAE,Palma de coco,Cocos nucifera 
223,20.0,MYRTACEAE,Eucalipto,Eucalyptus saligna
224,8.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
225,4.2,FABACEAE,Cedro amarillo,Albizia guachapele 
226,7.8,MALVACEAE,Cacao de monte,Pachira speciosa
227,1.3,MALVACEAE,Ceiba verde,Pseudobombax septenatum 
