,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
0,MORACEAE,Falso laurel,Ficus benjamina ,6.269098,-75.5665385,1,522.5,,,,,522.5,24.0,7.5,42.6,38.5,Este -oeste
1,ANACARDIACEAE,Mango,Mangifera indica ,6.269022,-75.5665433,2,73.0,62.5,,,,135.5,6.8,2.6,12.3,9.2,Norte-sur
2,FABACEAE,Carbonero (2),Calliandra pittieri ,6.268984,-75.5665687,1,80.3,,,,,80.3,4.8,1.8,14.5,10.3,Norte-sur
3,MORACEAE,Falso laurel,Ficus benjamina ,6.268908,-75.5665579,1,481.5,,,,,481.5,25.0,10.0,45.8,36.4,Este -oeste
4,MORACEAE,Falso laurel,Ficus benjamina ,6.268811,-75.5665827,1,523.8,,,,,523.8,24.0,4.0,34.4,26.5,Este -oeste
5,FABACEAE,Cedro amarillo,Albizia guachapele ,6.26869,-75.5666094,1,58.8,,,,,58.8,8.0,4.0,10.2,5.1,Norte-sur
6,MYRTACEAE,Grosello,Eugenia uniflora,6.268696,-75.5666539,1,19.8,,,,,19.8,4.3,2.7,5.3,2.1,Norte-sur
7,MORACEAE,Falso laurel,Ficus benjamina ,6.268596,-75.5666376,1,495.5,,,,,495.5,25.0,8.0,35.2,28.9,Norte-sur
8,MORACEAE,Falso laurel,Ficus benjamina ,6.268416,-75.5666861,1,604.5,,,,,604.5,27.0,9.0,41.6,36.4,Norte-sur
9,FABACEAE,Cedro amarillo,Albizia guachapele ,6.268398,-75.5666941,1,71.0,,,,,71.0,9.0,3.7,13.25,8.5,Norte-sur
10,FABACEAE,Gualanday,Jacaranda mimosifolia ,6.26835,-75.5667029,2,85.5,83.0,,,,168.5,8.0,2.1,15.2,14.3,Norte-sur
11,FABACEAE,Gualanday,Jacaranda mimosifolia ,6.26833,-75.5667108,2,66.0,44.2,,,,110.2,8.5,3.0,10.25,6.3,Este -oeste
12,MORACEAE,Falso laurel,Ficus benjamina ,6.268319,-75.5666996,1,451.2,,,,,451.2,26.0,4.0,35.2,28.4,Norte-sur
13,FABACEAE,Cedro amarillo,Albizia guachapele ,6.268292,-75.5667177,1,35.9,,,,,35.9,6.0,3.4,6.5,5.2,Este -oeste
14,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus ,6.26822,-75.5667396,1,8.5,,,,,8.5,2.8,1.6,1.8,1.2,Este -oeste
15,MORACEAE,Falso laurel,Ficus benjamina ,6.26817,-75.5667468,1,512.2,,,,,512.2,26.0,9.0,32.25,28.6,Norte -sur
16,FABACEAE,Carbonero (2),Calliandra pittieri ,6.2681493,-75.566762,1,68.3,,,,,68.3,3.8,1.5,15.3,6.7,Este -oeste
