,startA,startB,Distancia,Tiempo (min)
0,Moravia,Universidad,0.72,10.4
1,Moravia,Ruta N,1.2,12.0
2,Moravia,Robledo,3.52,19.7333333333
3,Moravia,Campus Nacional,2.8,17.3333333333
4,Moravia,Dian Alpujarra,3.2,18.6666666667
5,Moravia,Distrito Creativo,4.32,22.4
6,Moravia,Plaza de La Libertad,3.28,18.9333333333
7,Moravia,Parque de Las Luces II,3.04,18.1333333333
8,Moravia,Pies Descalzos I,3.6,20.0
9,Moravia,Area Metropolitana,3.36,19.2
10,Moravia,Plaza Mayor,3.52,19.7333333333
11,Moravia,Parque de Las Luces I,3.04,18.1333333333
12,Moravia,Pies Descalzos II,3.6,20.0
13,Moravia,Málaga,3.04,18.1333333333
14,Moravia,Palacé,3.92,21.0666666667
15,Moravia,Museo de Antioquia,2.4,16.0
16,Moravia,San Antonio,2.96,17.8666666667
17,Moravia,Parque Berrio,2.64,16.8
18,Moravia,Palacio de la Cultura,2.56,16.5333333333
19,Moravia,SIU-UdeA,1.68,13.6
20,Moravia,Primer Parque de Laureles,1.76,13.8666666667
21,Moravia,Otra Banda,3.52,19.7333333333
23,Moravia,Florida Nueva,4.4,22.6666666667
25,Moravia,María Mulata,4.88,24.2666666667
27,Moravia,Batallón,4.72,23.7333333333
28,Moravia,Calle 51 Los Colores,4.56,23.2
31,Moravia,Orquídeas,4.16,21.8666666667
32,Moravia,Santa Teresita,5.76,27.2
33,Moravia,La 65,4.08,21.6
34,Moravia,San Pedro y San Pablo,4.72,23.7333333333
35,Moravia,Parque de Los Mangos,4.48,22.9333333333
36,Moravia,Pedro Nel Gómez,5.36,25.8666666667
37,Moravia,Estadio,4.24,22.1333333333
38,Moravia,Suramericana,3.84,20.8
39,Moravia,Colombia,3.6,20.0
40,Moravia,San Juan,4.48,22.9333333333
43,Moravia,Floresta,4.88,24.2666666667
44,Moravia,Parque de los Enamorados,3.84,20.8
45,Moravia,Salazar y Herrera,3.92,21.0666666667
46,Moravia,Unicentro,4.96,24.5333333333
